pathway	pval	padj	log2err	ES	NES	size
1	OXIDATIVE PHOSPHORYLATION	0	0	0.6901	0.7452	-1.6695	196
2	MYC TARGETS V1	2e-04	0.0045	0.5188	0.6694	-1.5035	200
3	PANCREAS BETA CELLS	0.1017	0.6252	0.1752	0.7729	-1.3029	17
4	DNA REPAIR	0.085	0.6074	0.1657	0.5759	-1.2546	148
5	APICAL SURFACE	0.1991	0.6897	0.1152	0.6631	-1.2259	34
6	INTERFERON ALPHA RESPONSE	0.1968	0.6897	0.1051	0.5532	-1.1694	95
7	G2M CHECKPOINT	0.1704	0.6897	0.1084	0.5204	-1.1649	194
8	PROTEIN SECRETION	0.2363	0.6897	0.0944	0.5414	-1.1409	92
9	ANDROGEN RESPONSE	0.2613	0.6897	0.0878	0.5283	-1.1226	99
10	UNFOLDED PROTEIN RESPONSE	0.337	0.726	0.0736	0.5034	-1.0783	109
11	PI3K AKT MTOR SIGNALING	0.3767	0.726	0.0686	0.4975	-1.0573	99
12	CHOLESTEROL HOMEOSTASIS	0.3906	0.726	0.0701	0.5194	-1.0562	70
13	APICAL JUNCTION	0.4009	0.726	0.0634	0.4725	-1.0432	168
14	IL2 STAT5 SIGNALING	0.4501	0.741	0.0563	0.4565	-1.0201	192
15	COAGULATION	0.4594	0.741	0.0585	0.4707	-1.0084	109
16	APOPTOSIS	0.4757	0.7433	0.0557	0.4589	-1.0054	153
17	MYC TARGETS V2	0.4958	0.7486	0.0617	0.5054	-0.9968	58
18	ADIPOGENESIS	0.5091	0.7486	0.0506	0.4425	-0.9889	192
19	ANGIOGENESIS	0.5533	0.7536	0.0591	0.5176	-0.9464	31
20	E2F TARGETS	0.623	0.7536	0.0412	0.4185	-0.938	197
21	ALLOGRAFT REJECTION	0.6196	0.7536	0.0414	0.4182	-0.936	194
22	UV RESPONSE DN	0.633	0.7536	0.0428	0.4272	-0.9259	131
23	REACTIVE OXYGEN SPECIES PATHWAY	0.6188	0.7536	0.0521	0.4719	-0.915	49
24	SPERMATOGENESIS	0.628	0.7536	0.0454	0.4342	-0.915	94
25	FATTY ACID METABOLISM	0.6551	0.7618	0.0414	0.4219	-0.9126	130
26	KRAS SIGNALING DN	0.676	0.7681	0.0407	0.4176	-0.8971	114
27	HEDGEHOG SIGNALING	0.6291	0.7536	0.0532	0.4948	-0.8946	29
28	TGF BETA SIGNALING	0.7283	0.7916	0.0439	0.4397	-0.8593	52
29	GLYCOLYSIS	0.7715	0.8036	0.0324	0.3829	-0.8482	174
30	NOTCH SIGNALING	0.7181	0.7916	0.0472	0.4599	-0.8314	29
31	ESTROGEN RESPONSE EARLY	0.9079	0.9079	0.0244	0.3522	-0.7791	172
32	MYOGENESIS	0.9061	0.9079	0.0248	0.3504	-0.7737	167
33	ESTROGEN RESPONSE LATE	0.7568	0.8036	0.1288	-0.3403	0.9092	169
34	PEROXISOME	0.5282	0.7536	0.135	-0.3893	0.9525	93
35	HEME METABOLISM	0.4211	0.726	0.1752	-0.3783	1.008	166
36	MITOTIC SPINDLE	0.4123	0.726	0.2066	-0.3788	1.0092	195
37	IL6 JAK STAT3 SIGNALING	0.3467	0.726	0.1574	-0.4304	1.0387	81
38	UV RESPONSE UP	0.3519	0.726	0.1864	-0.3998	1.0455	144
39	KRAS SIGNALING UP	0.3182	0.726	0.2193	-0.3953	1.0484	176
40	INTERFERON GAMMA RESPONSE	0.2759	0.6897	0.253	-0.3978	1.058	194
41	MTORC1 SIGNALING	0.2632	0.6897	0.2617	-0.4003	1.0664	195
42	P53 PATHWAY	0.2403	0.6897	0.2572	-0.3998	1.0703	186
43	XENOBIOTIC METABOLISM	0.2611	0.6897	0.2221	-0.4117	1.0892	156
44	EPITHELIAL MESENCHYMAL TRANSITION	0.1745	0.6897	0.282	-0.4166	1.1097	168
45	COMPLEMENT	0.1852	0.6897	0.2879	-0.4191	1.1163	179
46	BILE ACID METABOLISM	0.0608	0.5065	0.3218	-0.5278	1.2979	90
47	WNT BETA CATENIN SIGNALING	0.1125	0.6252	0.2413	-0.6196	1.2999	37
48	HYPOXIA	0.015	0.15	0.3807	-0.5048	1.3456	175
49	INFLAMMATORY RESPONSE	0.0056	0.07	0.407	-0.5072	1.3505	188
50	TNFA SIGNALING VIA NFKB	3e-04	0.0045	0.4985	-0.582	1.5528	196
