"Cluster_0"	"Cluster_1"	"Cluster_2"	"Cluster_3"	"Cluster_4"	"Cluster_5"	"Cluster_6"	"Cluster_7"	"Cluster_8"
"HALLMARK_ADIPOGENESIS"	-0.0030696495232873	0.0253929862843479	0.0167895251298757	-0.00716904877162896	0.039150732445818	-0.0167299801064852	0.028171126021249	-0.0105910039790695	0.034595772734216
"HALLMARK_ALLOGRAFT_REJECTION"	-0.000922012369314817	0.0332826230513297	-0.00388124552146588	0.0202510731170404	-0.0297083610843859	-0.0736639024474272	0.0729797843102581	0.00523720621805831	0.115709428442262
"HALLMARK_ANDROGEN_RESPONSE"	-0.0180803583765794	0.0174866418336642	0.0161153739313559	-0.0365246188753041	0.0160019085399072	0.00780759461073398	0.0575067761900639	-0.015515626781321	0.0317360178797861
"HALLMARK_ANGIOGENESIS"	-0.0405828283559458	0.0187340728871856	0.0428574779691684	-0.0318645888801396	-0.0323045588425739	0.0485364149820627	0.0751584437534205	-0.0392767112512694	0.00885060934403903
"HALLMARK_APICAL_JUNCTION"	-0.0151180036580959	0.0161703508386914	0.0128454334469324	-0.0101839692320574	0.00339120473929294	-0.0250534031749369	0.0317986024829523	-0.00570801013780164	0.0590687353915359
"HALLMARK_APICAL_SURFACE"	-0.0240417252357191	0.0295257813793931	0.0187830181216571	-0.012661733429616	-6.39227570238854e-05	-0.0252427757989202	0.019582854294281	0.0179759305731993	-0.0114619105716943
"HALLMARK_APOPTOSIS"	-0.0232169808330865	0.0369719621559079	-0.0248857537295695	0.000556433700405392	-0.0255871443027423	0.022548923286515	0.100664481684034	-0.0266296597648167	0.0356124814665526
"HALLMARK_BILE_ACID_METABOLISM"	-0.0110061451794884	-0.00521111531294725	0.000931905880414816	0.015296735147714	0.0110767871760852	-0.0103691027153007	0.0166431814467314	-0.0106314660618356	0.0386965801430576
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	0.0128651996144805	0.0216346530297033	0.0151688106337181	-0.0372792768401939	-0.0430780301823851	0.0600458813858739	0.0993115492632674	-0.0948459203552483	0.0375900736227545
"HALLMARK_COAGULATION"	-0.00860433463495372	0.0255842613874643	0.0103129476865378	0.000549320673897099	-0.00355050293824281	0.0207304185510499	0.0747822438738336	-0.0491430225474398	0.0242238611985058
"HALLMARK_COMPLEMENT"	-0.00443709304927022	0.0138967570413827	-0.010697796972997	0.0239915894938917	-0.0417884567088306	-0.00305850156877847	0.0992628889166523	-0.0308472963468011	0.0784077214143337
"HALLMARK_DNA_REPAIR"	0.0083403272982444	0.0196447501368991	0.0131117835196229	-0.0285642831229045	0.0141545139050678	-0.0310150301630814	0.0226503404940399	-0.0109822294754015	0.0167623268968612
"HALLMARK_E2F_TARGETS"	0.00903123577530727	-0.00228010622757475	0.00933200306993654	-0.0221458376513327	0.000800736218361242	-0.0227183858331965	0.0199993156096769	-0.00347848363449921	0.0137083153673706
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	-0.0189502730405863	0.002587036486241	0.0145955454388475	0.0111213581223733	-0.0579330805234151	0.0360244565536393	0.078412071879208	-0.0905155357517439	0.0304008682318047
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	-0.0132938502121272	0.00134998581688065	0.00832453286705901	-0.00290632187399924	-0.0043409913777575	0.00670341435151009	0.0546116977377893	-0.00966208754423064	0.0315886670694699
"HALLMARK_ESTROGEN_RESPONSE_LATE"	-0.00927035393597557	0.00431883915427919	-0.00155174044148173	0.000299219597098238	-0.0182207842595618	-0.00123570354611029	0.0662055358048578	-0.0234404652249255	0.0432728022813216
"HALLMARK_FATTY_ACID_METABOLISM"	-0.0128686376517926	0.0104565631668929	0.0179231985747728	-0.0174939004160547	0.00549592146351036	0.0102155047898747	0.0317809819947364	-0.0258186248389293	0.0209875740277803
"HALLMARK_G2M_CHECKPOINT"	-0.000575522309851235	0.00672101892902191	0.0115770272178147	-0.0270365337641009	0.00864364369136511	-0.0141544011921756	0.0364397935361681	0.00871205353092208	0.0209492230335867
"HALLMARK_GLYCOLYSIS"	-0.0444869287843185	0.0142119559895945	0.00868780941620066	0.00635209044433099	-0.049343363978683	0.0637326375028443	0.0475716834354461	-0.0543631640482566	0.0263074734802623
"HALLMARK_HEDGEHOG_SIGNALING"	-0.0132266677971042	0.0213732596114962	0.0224789600960321	-0.00669602278523701	-0.00494746009257669	-0.00336445771059477	0.0726927120553318	-0.0471898274891853	0.0390707325962812
"HALLMARK_HEME_METABOLISM"	-0.0219381553894814	0.000545911541895552	0.0031601010365354	0.00586507058709564	-0.00489996971464875	0.0200908257355846	0.0592998494401891	-0.0279542740117332	0.0435878556529168
"HALLMARK_HYPOXIA"	-0.0613583570714298	-0.00906713453314765	-0.0181192396657691	0.0353302308589033	-0.0913097008479204	0.124429759971075	0.124397098323004	-0.0880164409152373	0.0585312260098975
"HALLMARK_IL2_STAT5_SIGNALING"	-0.0179495626204789	0.0272543329473803	-0.00249619279341839	-0.00253382670002761	-0.0132412169512633	0.00405175780961533	0.0944766164548868	-0.038696966436501	0.112828438221961
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	-0.0742400022610553	-0.00135466777609763	-0.0346557963263529	0.0273471075633828	-0.0632319476245087	-0.0400161741032241	0.200499039512075	-0.0369534260218637	0.0997191580987128
"HALLMARK_INFLAMMATORY_RESPONSE"	-0.014650760707833	0.0291493253997037	-0.0318504785228549	0.0737141598070458	-0.0726190241522792	-0.0403500154615728	0.1359014035112	-0.0410251788946553	0.149031255365906
