pathway	padj	NES	cluster	regulation
19	 ADIPOGENESIS	0.8881	1.0232	1	UP
85	 ADIPOGENESIS	0.6604	-0.9778	3	DOWN
123	 ADIPOGENESIS	0.4022	-1.0948	7	DOWN
179	 ADIPOGENESIS	0.7147	0.9779	8	UP
221	 ADIPOGENESIS	0.5771	1.018	2	UP
287	 ADIPOGENESIS	0.3631	-1.1154	5	DOWN
337	 ADIPOGENESIS	0.0869	-1.2822	4	DOWN
395	 ADIPOGENESIS	0.9874	0.7645	6	UP
421	 ADIPOGENESIS	0.3659	-1.1111	0	DOWN
8	 ALLOGRAFT REJECTION	0.662	1.1798	1	UP
60	 ALLOGRAFT REJECTION	0.2228	1.2268	3	UP
106	 ALLOGRAFT REJECTION	0.1904	1.2101	7	UP
157	 ALLOGRAFT REJECTION	0.0578	1.3494	8	UP
241	 ALLOGRAFT REJECTION	0.2881	-1.1605	2	DOWN
298	 ALLOGRAFT REJECTION	1e-04	-1.6031	5	DOWN
348	 ALLOGRAFT REJECTION	2e-04	-1.7398	4	DOWN
377	 ALLOGRAFT REJECTION	0.0388	1.2496	6	UP
414	 ALLOGRAFT REJECTION	0.5534	-1.0048	0	DOWN
20	 ANDROGEN RESPONSE	0.8881	1.0193	1	UP
93	 ANDROGEN RESPONSE	0.3985	-1.1617	3	DOWN
118	 ANDROGEN RESPONSE	0.6436	-0.9639	7	DOWN
180	 ANDROGEN RESPONSE	0.7147	0.9519	8	UP
215	 ANDROGEN RESPONSE	0.4274	1.1337	2	UP
268	 ANDROGEN RESPONSE	0.4827	1.0696	5	UP
318	 ANDROGEN RESPONSE	0.8748	-0.7849	4	DOWN
371	 ANDROGEN RESPONSE	0.0384	1.3157	6	UP
430	 ANDROGEN RESPONSE	0.2294	-1.2593	0	DOWN
30	 ANGIOGENESIS	0.8881	0.9033	1	UP
87	 ANGIOGENESIS	0.6604	-0.9971	3	DOWN
127	 ANGIOGENESIS	0.4022	-1.1495	7	DOWN
194	 ANGIOGENESIS	0.7147	-0.9177	8	DOWN
204	 ANGIOGENESIS	0.1604	1.4126	2	UP
259	 ANGIOGENESIS	0.2079	1.3732	5	UP
309	 ANGIOGENESIS	0.6797	1.0077	4	UP
381	 ANGIOGENESIS	0.2172	1.2182	6	UP
433	 ANGIOGENESIS	0.254	-1.2806	0	DOWN
9	 APICAL JUNCTION	0.7145	1.1496	1	UP
83	 APICAL JUNCTION	0.6749	-0.9545	3	DOWN
112	 APICAL JUNCTION	0.7547	-0.8913	7	DOWN
160	 APICAL JUNCTION	0.2354	1.2761	8	UP
212	 APICAL JUNCTION	0.2097	1.2713	2	UP
292	 APICAL JUNCTION	0.1067	-1.2932	5	DOWN
342	 APICAL JUNCTION	0.0151	-1.4369	4	DOWN
383	 APICAL JUNCTION	0.1226	1.1955	6	UP
432	 APICAL JUNCTION	0.1491	-1.276	0	DOWN
4	 APICAL SURFACE	0.5452	1.3774	1	UP
88	 APICAL SURFACE	0.6604	-1.025	3	DOWN
105	 APICAL SURFACE	0.2888	1.2306	7	UP
196	 APICAL SURFACE	0.5967	-1.0827	8	DOWN
211	 APICAL SURFACE	0.2521	1.3054	2	UP
290	 APICAL SURFACE	0.3114	-1.2318	5	DOWN
340	 APICAL SURFACE	0.0161	-1.4016	4	DOWN
378	 APICAL SURFACE	0.1936	1.2326	6	UP
447	 APICAL SURFACE	0.0657	-1.5075	0	DOWN
6	 APOPTOSIS	0.662	1.2193	1	UP
72	 APOPTOSIS	0.6427	1.0015	3	UP
129	 APOPTOSIS	0.2568	-1.1918	7	DOWN
175	 APOPTOSIS	0.6883	1.033	8	UP
247	 APOPTOSIS	0.0445	-1.4516	2	DOWN
