"pathway" "pval" "padj" "log2err" "ES" "NES" "size"
"1" "INTERFERON GAMMA RESPONSE" 3.40263728104876e-16 1.70131864052438e-14 1.03769615548758 0.788147132355692 2.18899132416633 194
"2" "INTERFERON ALPHA RESPONSE" 3.71390702050804e-10 4.64238377563504e-09 0.814035837847908 0.823686061236773 2.09256709377168 95
"3" "TNFA SIGNALING VIA NFKB" 7.304243104812e-08 7.304243104812e-07 0.704975715167238 0.669830620830267 1.86406956393931 196
"4" "INFLAMMATORY RESPONSE" 3.79024800992497e-07 3.15854000827081e-06 0.674962860011025 0.659924065208087 1.82149359599713 188
"5" "HYPOXIA" 2.06364398525604e-05 0.000147403141804003 0.575610261071129 0.614208447350291 1.69085504988899 176
"6" "KRAS SIGNALING UP" 0.0077118109299163 0.0428433940550906 0.407017918923954 0.508757164645991 1.40055810811452 176
"7" "COMPLEMENT" 0.028074973329086 0.100267761889593 0.352487857583619 0.488436951173043 1.34397943586229 181
"8" "APOPTOSIS" 0.0562420148485662 0.187473382828554 0.321775918075361 0.473268375458825 1.28570412537196 153
"9" "P53 PATHWAY" 0.0625 0.1953125 0.287857117255149 0.447683303676342 1.23528066675852 186
"10" "KRAS SIGNALING DN" 0.106435643564356 0.266089108910891 0.216542836735348 0.470892140665888 1.22589030713967 114
"11" "ALLOGRAFT REJECTION" 0.0723192019950125 0.209128932533188 0.266350657088526 0.439109598590867 1.21957825158941 194
"12" "BILE ACID METABOLISM" 0.1275 0.277173913043478 0.197822021315103 0.477427792177024 1.20925844374276 90
"13" "IL2 STAT5 SIGNALING" 0.0865139949109415 0.227668407660372 0.245041785430996 0.432309604161459 1.19441877558799 192
"14" "IL6 JAK STAT3 SIGNALING" 0.171990171990172 0.341038272072755 0.166933848713193 0.472637196072761 1.18281642110852 81
"15" "ESTROGEN RESPONSE LATE" 0.119289340101523 0.277173913043478 0.206587922696891 0.429455620118265 1.1799353683955 169
"16" "ESTROGEN RESPONSE EARLY" 0.160098522167488 0.333538587848933 0.173747838999571 0.416041295547849 1.14939526536983 173
"17" "EPITHELIAL MESENCHYMAL TRANSITION" 0.192893401015228 0.349903474903475 0.159646701919906 0.411705795784791 1.13116747589916 169
"18" "GLYCOLYSIS" 0.219451371571072 0.36978756884343 0.147331213699377 0.401482540380067 1.10657693668201 174
"19" "XENOBIOTIC METABOLISM" 0.229268292682927 0.36978756884343 0.142056643575821 0.402638568921015 1.09949382511599 157
"20" "HEME METABOLISM" 0.243718592964824 0.380810301507538 0.139599673451922 0.399621059742275 1.09549607522467 166
"21" "MITOTIC SPINDLE" 0.361386138613861 0.528571428571429 0.110564716336619 0.371758362733832 1.03560535294399 195
"22" "UV RESPONSE UP" 0.37 0.528571428571429 0.109684061970549 0.380660951185896 1.02201602625829 144
"23" "PEROXISOME" 0.483544303797468 0.619928594612139 0.0940503465727813 0.393271787998047 0.993131479234074 93
"24" "REACTIVE OXYGEN SPECIES PATHWAY" 0.54014598540146 0.640554875560996 0.0855356947987884 0.406477779638493 0.945846316820565 49
"25" "UV RESPONSE DN" 0.730769230769231 0.771136731391586 0.0723570851036907 0.336591366997006 0.893820394796001 131
"26" "WNT BETA CATENIN SIGNALING" 0.740291262135922 0.771136731391586 0.0689567351672811 0.374959550182748 0.831083609601741 37
"27" "NOTCH SIGNALING" 0.884751773049645 0.884751773049645 0.04577044581081 -0.356583523477244 -0.739005368978688 29
"28" "TGF BETA SIGNALING" 0.842715231788079 0.859913501824571 0.0448645113168564 -0.343298704783917 -0.791954123188127 52
"29" "SPERMATOGENESIS" 0.717863105175292 0.771136731391586 0.0525898950623616 -0.348708278765767 -0.87604706742929 94
"30" "MYOGENESIS" 0.637271214642263 0.708079127380292 0.0579754757571486 -0.349980077948668 -0.930931648618511 167
"31" "HEDGEHOG SIGNALING" 0.550877192982456 0.640554875560996 0.0675188953767744 -0.446073543424585 -0.934460359552262 30
"32" "PI3K AKT MTOR SIGNALING" 0.574503311258278 0.652844671884407 0.0626618230932491 -0.373092767067439 -0.944254741319887 99
"33" "APICAL JUNCTION" 0.538079470198676 0.640554875560996 0.0658311958368866 -0.359625576806688 -0.959881015002939 168
"34" "COAGULATION" 0.51510067114094 0.640554875560996 0.0686325631836726 -0.377446243067592 -0.965194105832553 110
"35" "MTORC1 SIGNALING" 0.406354515050167 0.554100813616385 0.0806388495950661 -0.374387293666291 -1.01277423468626 195
"36" "APICAL SURFACE" 0.410034602076125 0.554100813616385 0.0819778796501272 -0.485185040133978 -1.03607926284288 34
"37" "PANCREAS BETA CELLS" 0.434859154929577 0.572183098591549 0.0797705918628453 -0.552344992078642 -1.04120335032813 18
"38" "ADIPOGENESIS" 0.177339901477833 0.341038272072755 0.131457611642763 -0.41164769076966 -1.1165430615134 192
"39" "ANGIOGENESIS" 0.299295774647887 0.453478446436193 0.100990587455923 -0.530673208192137 -1.11782635977334 31
"40" "PROTEIN SECRETION" 0.223684210526316 0.36978756884343 0.115240003147781 -0.448388788023536 -1.12926811264549 92
"41" "CHOLESTEROL HOMEOSTASIS" 0.195945945945946 0.349903474903475 0.126253987849115 -0.483690328331639 -1.15946959501658 70
"42" "ANDROGEN RESPONSE" 0.122516556291391 0.277173913043478 0.161978948883402 -0.475490509223828 -1.20341161078057 99
"43" "FATTY ACID METABOLISM" 0.0752864157119476 0.209128932533188 0.208955027549354 -0.482312060996692 -1.25799398902968 130
"44" "E2F TARGETS" 0.0251010192686921 0.100267761889593 0.352487857583619 -0.497620728010988 -1.34820882314798 197
"45" "G2M CHECKPOINT" 0.0105894918088221 0.0529474590441106 0.380730400722792 -0.507951461231604 -1.3756948615854 194
"46" "DNA REPAIR" 0.0121389789313565 0.0551771769607114 0.380730400722792 -0.530055881640527 -1.39603944937547 148
"47" "UNFOLDED PROTEIN RESPONSE" 0.0276355143743241 0.100267761889593 0.352487857583619 -0.546176867900506 -1.39676404821011 109
"48" "MYC TARGETS V2" 0.00069562583658082 0.00434766147863012 0.477270815362862 -0.716228528294864 -1.67851860982371 58
"49" "OXIDATIVE PHOSPHORYLATION" 2.16606666689805e-12 3.61011111149676e-11 0.898671232061694 -0.731395647379711 -1.98049349153453 196
"50" "MYC TARGETS V1" 1.56072656125527e-15 3.90181640313817e-14 1.01754479730988 -0.754053323413827 -2.04556760146294 200
