pathway	pval	padj	log2err	ES	NES	size
1	INTERFERON GAMMA RESPONSE	0	0	0.6901	0.7016	1.8623	194
2	TNFA SIGNALING VIA NFKB	0	0	0.675	0.6916	1.8379	196
3	HYPOXIA	0	0	0.6273	0.6874	1.8087	175
4	INFLAMMATORY RESPONSE	0	3e-04	0.5573	0.6455	1.7093	188
5	GLYCOLYSIS	3e-04	0.0021	0.4985	0.6079	1.6023	174
6	INTERFERON ALPHA RESPONSE	0.0064	0.0322	0.407	0.6369	1.5625	95
7	IL6 JAK STAT3 SIGNALING	0.0045	0.0248	0.407	0.6502	1.5614	81
8	XENOBIOTIC METABOLISM	0.0019	0.0117	0.4551	0.587	1.538	156
9	REACTIVE OXYGEN SPECIES PATHWAY	0.0139	0.0494	0.3807	0.6722	1.4775	49
10	MTORC1 SIGNALING	0.0076	0.0346	0.407	0.5383	1.4284	195
11	EPITHELIAL MESENCHYMAL TRANSITION	0.0148	0.0494	0.3807	0.5229	1.3882	168
12	BILE ACID METABOLISM	0.0306	0.0851	0.3525	0.5712	1.3784	90
13	HEME METABOLISM	0.0187	0.0586	0.3525	0.5168	1.3672	166
14	P53 PATHWAY	0.0331	0.0872	0.3218	0.4926	1.3015	186
15	APOPTOSIS	0.0634	0.1509	0.2765	0.4885	1.2791	153
16	PEROXISOME	0.0713	0.162	0.2572	0.5219	1.2726	93
17	COMPLEMENT	0.0465	0.1162	0.3218	0.4834	1.2665	179
18	UV RESPONSE UP	0.0983	0.1891	0.2221	0.4694	1.217	144
19	ALLOGRAFT REJECTION	0.0927	0.1891	0.2344	0.4566	1.212	194
20	IL2 STAT5 SIGNALING	0.0961	0.1891	0.228	0.4504	1.1967	192
21	ESTROGEN RESPONSE EARLY	0.11	0.2037	0.2114	0.452	1.1948	172
22	KRAS SIGNALING UP	0.1335	0.2384	0.1938	0.4502	1.1822	176
23	ESTROGEN RESPONSE LATE	0.1703	0.2838	0.1657	0.4269	1.1323	169
24	WNT BETA CATENIN SIGNALING	0.2778	0.4112	0.1183	0.5354	1.1307	37
25	COAGULATION	0.2697	0.4112	0.1238	0.4329	1.089	109
26	APICAL JUNCTION	0.2665	0.4112	0.1281	0.4072	1.0811	168
27	MITOTIC SPINDLE	0.2796	0.4112	0.1294	0.4017	1.0659	195
28	TGF BETA SIGNALING	0.3824	0.5017	0.1014	0.4726	1.0434	52
29	UV RESPONSE DN	0.3286	0.4695	0.1133	0.4049	1.0397	131
30	PI3K AKT MTOR SIGNALING	0.3913	0.5017	0.1006	0.4189	1.0325	99
31	ADIPOGENESIS	0.4877	0.5947	0.092	0.3684	0.979	192
32	APICAL SURFACE	0.5021	0.5977	0.0818	0.4722	0.9764	34
33	KRAS SIGNALING DN	0.5698	0.6475	0.0785	0.374	0.9466	114
34	ANGIOGENESIS	0.6034	0.6705	0.0727	0.4497	0.9087	31
35	FATTY ACID METABOLISM	0.6916	0.7204	0.0705	0.3523	0.9048	130
36	MYOGENESIS	0.7112	0.7257	0.0701	0.3417	0.9045	167
37	HEDGEHOG SIGNALING	0.6237	0.6779	0.0715	0.4417	0.884	29
38	SPERMATOGENESIS	0.9894	0.9894	0.0404	-0.2934	-0.7024	94
39	PROTEIN SECRETION	0.6696	0.7123	0.0582	-0.3774	-0.9023	92
40	NOTCH SIGNALING	0.5642	0.6475	0.0693	-0.4603	-0.9201	29
41	ANDROGEN RESPONSE	0.4336	0.542	0.0802	-0.4175	-1.0038	99
42	UNFOLDED PROTEIN RESPONSE	0.3573	0.4828	0.0917	-0.4262	-1.0368	109
43	PANCREAS BETA CELLS	0.3539	0.4828	0.0928	-0.63	-1.1212	17
44	CHOLESTEROL HOMEOSTASIS	0.1595	0.275	0.1464	-0.5151	-1.1855	70
45	G2M CHECKPOINT	0.0929	0.1891	0.1882	-0.453	-1.1898	194
46	DNA REPAIR	0.0233	0.0685	0.3525	-0.5391	-1.3671	148
47	E2F TARGETS	0.0104	0.0399	0.3807	-0.5235	-1.3797	197
48	MYC TARGETS V2	0.0099	0.0399	0.3807	-0.6838	-1.5345	58
49	OXIDATIVE PHOSPHORYLATION	0	3e-04	0.5573	-0.6401	-1.6849	196
50	MYC TARGETS V1	0	1e-04	0.5933	-0.6417	-1.6884	200
