pathway	pval	padj	log2err	ES	NES	size
1	MITOTIC SPINDLE	1e-04	0.0062	0.5188	0.4269	1.7648	145
2	UV RESPONSE DN	0.0357	0.2976	0.3218	0.3694	1.3826	83
3	APICAL SURFACE	0.1409	0.587	0.1657	0.5439	1.3357	12
4	KRAS SIGNALING DN	0.1918	0.6002	0.1464	0.3845	1.2215	35
5	INTERFERON GAMMA RESPONSE	0.2041	0.6002	0.1669	0.264	1.1098	178
6	PANCREAS BETA CELLS	0.4219	0.7515	0.0871	0.4069	1.0198	13
7	WNT BETA CATENIN SIGNALING	0.6811	0.8868	0.0628	0.2886	0.8479	24
8	INTERFERON ALPHA RESPONSE	0.7971	0.9721	0.0651	0.2224	0.8472	91
9	PROTEIN SECRETION	0.9976	1	0.0536	0.1717	0.6477	87
10	PEROXISOME	0.9976	1	0.0533	0.1726	0.6303	70
11	PI3K AKT MTOR SIGNALING	1	1	0.0532	0.1506	0.565	85
12	HEME METABOLISM	1	1	0.0349	-0.159	-0.5392	129
13	BILE ACID METABOLISM	0.9335	1	0.044	-0.2093	-0.6062	45
14	ADIPOGENESIS	0.9763	1	0.0359	-0.189	-0.6509	147
15	SPERMATOGENESIS	0.872	1	0.0485	-0.2425	-0.6789	41
16	GLYCOLYSIS	0.9111	1	0.0394	-0.2158	-0.7307	128
17	G2M CHECKPOINT	0.8493	1	0.0421	-0.2266	-0.7754	137
18	APICAL JUNCTION	0.7487	0.9359	0.0511	-0.2451	-0.7918	94
19	TGF BETA SIGNALING	0.6727	0.8868	0.0591	-0.2819	-0.8166	45
20	ESTROGEN RESPONSE EARLY	0.6917	0.8868	0.0542	-0.2604	-0.8442	97
21	EPITHELIAL MESENCHYMAL TRANSITION	0.6521	0.8868	0.0592	-0.2741	-0.8472	73
22	NOTCH SIGNALING	0.6215	0.8868	0.0686	-0.3412	-0.8508	24
23	E2F TARGETS	0.6513	0.8868	0.0547	-0.2606	-0.8837	129
24	ANDROGEN RESPONSE	0.518	0.8094	0.0694	-0.3001	-0.9329	74
25	INFLAMMATORY RESPONSE	0.5354	0.8113	0.0636	-0.2777	-0.9557	144
26	UNFOLDED PROTEIN RESPONSE	0.4959	0.7998	0.0694	-0.2952	-0.9635	101
27	HEDGEHOG SIGNALING	0.4802	0.7998	0.0806	-0.4134	-0.9769	17
28	XENOBIOTIC METABOLISM	0.4359	0.7515	0.0761	-0.3058	-0.9996	102
29	COMPLEMENT	0.4085	0.7515	0.0773	-0.2994	-1.0208	135
30	UV RESPONSE UP	0.3971	0.7515	0.0802	-0.3094	-1.0249	112
31	KRAS SIGNALING UP	0.3527	0.7515	0.0863	-0.3185	-1.0536	110
32	COAGULATION	0.3702	0.7515	0.0884	-0.351	-1.0607	63
33	ANGIOGENESIS	0.3784	0.7515	0.0934	-0.4483	-1.0746	19
34	ESTROGEN RESPONSE LATE	0.3306	0.7513	0.0914	-0.3361	-1.0915	99
35	MTORC1 SIGNALING	0.2955	0.7036	0.092	-0.3145	-1.1035	169
36	HYPOXIA	0.2571	0.6767	0.104	-0.3395	-1.15	127
37	MYOGENESIS	0.2852	0.7036	0.1032	-0.3778	-1.1534	65
38	DNA REPAIR	0.2335	0.6486	0.111	-0.3484	-1.1687	120
39	P53 PATHWAY	0.2006	0.6002	0.1199	-0.3424	-1.179	147
40	ALLOGRAFT REJECTION	0.1659	0.6002	0.1328	-0.3547	-1.217	139
41	IL6 JAK STAT3 SIGNALING	0.1972	0.6002	0.1275	-0.4028	-1.2426	70
42	IL2 STAT5 SIGNALING	0.0865	0.4081	0.19	-0.3832	-1.3175	143
43	APOPTOSIS	0.0657	0.365	0.2221	-0.4168	-1.3974	116
44	OXIDATIVE PHOSPHORYLATION	0.0223	0.2967	0.3525	-0.42	-1.4862	185
45	MYC TARGETS V2	0.0898	0.4081	0.1978	-0.4996	-1.4912	51
46	TNFA SIGNALING VIA NFKB	0.0237	0.2967	0.3525	-0.4253	-1.4947	177
47	FATTY ACID METABOLISM	0.0349	0.2976	0.3218	-0.4626	-1.5122	102
48	CHOLESTEROL HOMEOSTASIS	0.0484	0.3024	0.2765	-0.5438	-1.6176	54
49	REACTIVE OXYGEN SPECIES PATHWAY	0.0447	0.3024	0.3218	-0.5659	-1.6463	46
50	MYC TARGETS V1	0.0028	0.0688	0.4317	-0.4731	-1.6741	185
